Church_Name,Address,Phone_Number,Website,No_of_Member,Ponster_Name
"
        ,
			,
			,
        ","
			,
			896 Old Winston Rd,
Kernersville NC  27284-7108,
USA
        ","
		,Israel Sanabria Mora ",http://www.kernersvilleadventist.org,"
    	,
			PO Box 249,
Kernersville NC  27285-0249,
USA
		","
		,537"
"
        ,
			,
			,
        ","
			,
			3810 Golden Spur St,
Lake Isabella CA  93240-9206,
USA
        ","
		,Daniel R Petsch ",http://kernrivervalley22.adventistchurchconnect.org,"
    	,
			PO Box XX,
Lake Isabella CA  93240-8951,
USA
		","
		,66"
"
        ,
			,
			(,) 
			
        ","
			,
			23011 Linden Blvd,
Cambria Heights NY  11411-1851,
USA
        ","
        ,718-734-4069
        ",http://kerithfrench22.adventistchurchconnect.org,"
		,392","
		,Judson Ariste "
,,"
        ,
			,
			
        ",http://kenyanfellowship.adventistchurch.org,"
        ,480-985-3140
        ","
        ,480-985-3192
        "
"
        ,Church (CCH)
        ","
			,
			6625 Humboldt Ave N,
Brooklyn Center MN  55430-1810,
USA
        ","
			,
		,Ezra Kenyanya  (Pastor - Youth)
        ",http://kenyancommunity22.adventistchurchconnect.org,"
		,376","
		,Enock Bigogo "
"
        ,Church (CCH)
        ","
			,
			4215 44th St SE,
Kentwood MI  49512-4006,
USA
        ","
        ,616-971-8129
        ",http://www.kentwoodsdachurch.org/,"
		,51","
		,Leeroy Hernandez "
"
        ,Church (CCH)
        ","
			,
			22600 NE 116th Street,
Kent WA  98031,
USA
        ","
        ,253-202-4044
        ",http://kentspanish22.adventistchurchconnect.org,"
		,272","
		,Francisco Brito "
"
        ,
			,
			(,) 
			
        ","
			,
			25213 116th Ave SE,
Kent WA  98030-6537,
USA
        ","
		,Willie Iwankiw ",http://www.kentsda.org,"
    	,
			25213 116th Ave SE,
Kent WA  98030-6537,
USA
		","
		,459"
"
        ,Group (CG)
        ","
			,
			1215 E Valley Hwy, Suite #129,
Kent WA  98032,
USA
        ","
        ,425-687-6590
        ",http://kentrussianwa.adventistchurch.org,"
    	,
			PO Box 6936,
Bellevue WA  98008-0936,
USA
		","
		,Vitali Oliinik "
"
        ,Company (CCO)
        ","
			,
			3223 Roosevelt Rd,
Kenosha WI  53142-3932,
USA
        ","
        ,262-652-3599
        ",http://www.racinedistrictsda.org,"
		,56","
		,Zachary M Payne "
"
        ,Church (CCH)
        ","
			,
			301 S Washington St,
Kennewick WA  99336-3953,
USA
        ","
        ,509-783-3471
        ",http://kennewickspanishsda.org,"
		,227","
		,Isaias Hernandez "
"
        ,
			,
			(,) 
			
        ","
			,
			7105 W 10th Ave,
Kennewick WA  99336-9344,
USA
        ","
        ,509-783-8731
        ",http://www.kennewickadventist.org,"
		,403","
		,Greg A Carter "
"
        ,
			,
			(,) 
			
        ","
			,
			553 Rosedale Rd,
Kennett Square PA  19348-2440,
USA
        ","
		,Alberto Balio ",http://kennettsquarehispanicpa.adventistchurch.org,"
    	,
			3535 Kip St,
Philadelphia PA  19134-1014,
USA
		","
		,52"
"
		,
		","
			,
			PO Box 2013,
Kennesaw GA  30156-9013,
USA
        ","
        ,
        ",http://mountpisgah22.adventistchurchconnect.org,"
    	,
			PO Box 2013,
Kennesaw GA  30156-9013,
USA
		","
		,120"
"
        ,
			,
			(,) 
			
        ","
			,
			Kenmore Lutheran Church,
6620 NE 185th St,
Kenmore WA  98028-7913,
USA
        ","
		,Felipe Andino ",http://kenmorespanishwa.adventistchurch.org,"
    	,
			Pastor Pozo,
300 Vuemont Pl NE Apt T201,
Renton WA  98056-4550,
USA
		","
		,95"
"
        ,Church (CCH)
        ","
			,
			7135 SW 125th Ave,
Miami FL  33183-2504,
USA
        ","
        ,786-486-0228
        ",http://kendallspanish22.adventistchurchconnect.org/,"
		,394","
		,Fidel Falcon "
"
        ,Thursday, May 11, 2017
        ","
			,
			19000 SW 127th Ave,
Miami FL  33177-3702,
USA
        ","
        ,786-573-4442
        ",http://www.kendallfl.adventistchurch.org/,"
		,239","
		,Laton Smith "
"
        ,
			,
			(,) 
			
        ","
			,
			1185 Westside Hwy,
Kelso WA  98626-1720,
USA
        ","
			,
		,Belinda Rodriguez  (Pastor - Assistant)
        ",http://kelsolongviewspanishwa.adventistchurch.org,"
    	,
			77 Solomon Rd,
Kelso WA  98626-1706,
USA
		","
		,Samuel Castro "
"
        ,
			,
			(,) 
			
        ","
			,
			9500 Ray White Rd Ste 101,
Fort Worth TX  76244-9108,
USA
        ","
		,Ion Groza ",http://kellercomeandsee.com,"
    	,
			PO Box 2684,
Keller TX  76244-2684,
USA
		","
		,105"
"
        ,
			,
			(,) 
			
        ","
			,
			606 Dearborn Ave NE,
Keizer OR  97303-4554,
USA
        ","
		,Alberto Jose Montes Figueroa ",http://keizerspanishor.adventistchurch.org,"
    	,
			PO Box 21653,
Keizer OR  97307-1653,
USA
		","
		,122"
"
        ,
			,
			,
        ","
			,
			304 W Highway 67,
Keene TX  76059-1307,
USA
        ","
		,Enoc Calderon ",http://www.keenehsda.org,"
    	,
			PO Box 499,
Keene TX  76059-0499,
USA
		","
		,759"
"
        ,Church (CCH)
        ","
			,
			42 Forbush Ln,
Swanzey NH  03446-2128,
USA
        ","
		,Ron Nickerson ",http://keene22.adventistchurchconnect.org,"
    	,
			PO Box 938,
Keene NH  03431-0938,
USA
		","
		,91"
"
        ,
			,
			,
        ","
			,
			114 S Fairview St,
Keene TX  76059-1832,
USA
        ","
			,
		,Michael Ray Gibson  (Pastor - Associate),
 Devin Grady  (Pastor - Associate),
 Carlos Pasillas  (Pastor - Associate),
 Travis Patterson  (Pastor - Associate),
 Tony Torres  (Pastor - Associate),
 Rick Weaver  (Pastor - Associate)
        ",http://www.keenechurch.com,"
		,3163","
		,James Winegardner "
"
        ,
			,
			(,) 
			
        ","
			,
			3312 B Ave,
Kearney NE  68847-3040,
USA
        ","
		,Greg Bullion ",http://kearney22.adventistchurchconnect.org,"
    	,
			3312 B Ave,
Kearney NE  68847-3040,
USA
		","
		,77"
"
		,
		","
			,
			510 S Mason Rd # P1,
Katy TX  77450-2446,
USA
        ","
        ,
        ",http://www.central5ranch.com,"
    	,
			4018 Meadow Lilly Ln,
Katy TX  77449-7647,
USA
		","
		,40"
"
        ,Thursday, October 11, 2018
        ","
			,
			17010 Kieth Harrow Blvd,
Houston TX  77084-2511,
USA
        ","
		,Nicolas Herrera ",http://www.katyspanish22.adventistchurchconnect.org,"
    	,
			7602 Sisterdale Dr,
Cypress TX  77433-1575,
USA
		","
		,122"
"
        ,Church (CCH)
        ","
			,
			1913 East Ave,
Katy TX  77493-1646,
USA
        ","
        ,
			,
			
        ",http://katyadventistchurch.com,"
		,132","
        ,281-410-9860
        "
"
        ,Church (CCH)
        ","
			,
			PO Box 255,
Karlstad MN  56732-0255,
USA
        ","
		,David Jahn ",http://karlstad22.adventistchurchconnect.org,"
    	,
			PO Box 255,
Karlstad MN  56732-0255,
USA
		","
		,38"
"
        ,
			,
			(,) 
			
        ","
			,
			Temp - Durham Five Oaks Sda Church,
4124 Farrington Rd,
Durham NC  27707-5241,
USA
        ","
		,Saw Jimmy Shwe ",http://karenchapelhillnc.adventistchurch.org,"
    	,
			C/O Jimmy Shwe,
413 Northside Dr,
Chapel Hill NC  27516-3118,
USA
		","
		,219"
"
		,
		","
			,
			91-1567 Wahane St,
Kapolei HI  96707-3106,
USA
        ","
        ,
        ",http://www.KapoleiAdventist.org,"
		,15","
		,Gerry Christman "
"
        ,Wednesday, July 25, 2018
        ","
			,
			91-1037 Lexington St,
Kapolei HI  96707-2115,
USA
        ","
        ,808-680-7694
        ",http://waipahusamoanhi.adventistchurch.org,"
		,113","
		,Siolusi (George) Siaosi Tolai "
"
        ,
			,
			(,) 
			
        ","
			,
			4-1132 Kuhio Hwy,
Kapaa HI  96746-1628,
USA
        ","
		,Douglas Na'a ",http://kapaa22.adventistchurchconnect.org,"
    	,
			PO Box 1359,
Kapaa HI  96746-7359,
USA
		","
		,200"
"
        ,
			,   ,: UTC-6
		","
			,
			8714 Antioch Rd,
Overland Park KS  66212-3650,
USA
        ","
		,Douglas J Elsey ",http://www.newhavensda.org,"
    	,
			8714 Antioch Rd,
Overland Park KS  66212-3650,
USA
		","
		,748"
"
        ,Church (CCH)
        ","
			,
			500 Chelsea Ave,
Kansas City MO  64124-2138,
USA
        ","
        ,816-483-1888
        ",http://kansascitylatinamerican22.adventistchurchconnect.org,"
		,259","
		,Juan Acosta "
"
        ,
			,
			,
        ","
			,
			6245 Monticello Rd,
Shawnee KS  66226-3110,
USA
        ","
		,Mike Fenton ",http://www.chapeloaks.org,"
    	,
			6245 Monticello Rd,
Shawnee KS  66226-3110,
USA
		","
		,509"
"
        ,
			,
			(,) 
			
        ","
			,
			14651 Peterson Rd,
Kansas City MO  64149-1200,
USA
        ","
        ,816-331-9933
        ",http://www.kccsdachurch.com,"
		,230","
		,Kent Wallace Dunwoody "
"
        ,Group (CG)
        ","
			,
			1910 N Main St,
Kannapolis NC  28081-2365,
USA
        ","
        ,704-202-5473
        ",http://bscinkanc.wixsite.com/harvest,"
    	,
			1910 N Main St,
Kannapolis NC  28081-2365,
USA
		","
		,Scottie Deal "
"
        ,
			,
			(,) 
			
        ","
			,
			45-566 Mahinui Rd,
Kaneohe HI  96744-1761,
USA
        ","
        ,808-247-4345
        ",http://www.kaneohesda.com,"
		,195","
		,Tim Nelson "
"
        ,
			,
			(,) 
			
        ","
			,
			3366 Willow St,
Kamiah ID  83536-5018,
USA
        ","
		,Steve Rogers ",http://kamiahadventist.org,"
    	,
			PO Box 997,
Kamiah ID  83536-0997,
USA
		","
		,85"
"
        ,
			,
			(,) 
			
        ","
			,
			2004 N Birch St,
Kalkaska MI  49646-9448,
USA
        ","
		,Jeff Akenberger ",http://kalkaskami.adventistchurch.org,"
    	,
			PO Box 1418,
Kalkaska MI  49646-1418,
USA
		","
		,82"
"
        ,
			,
			(,) 
			
        ","
			,
			1185 Old Reserve Dr,
Kalispell MT  59901-8849,
USA
        ","
		,Casey Higgins ",http://www.kalispelladventist.org,"
    	,
			1185 Old Reserve Dr,
Kalispell MT  59901-8849,
USA
		","
		,259"
"
        ,
			,
			(,) 
			
        ","
			,
			805 N 1st Ave,
Arcadia CA  91006-2530,
USA
        ","
        ,818-242-3713
        ",http://www.kaleosda.church,"
		,221","
		,Manuel Arteaga Jr"
"
        ,
			,
			(,) 
			
        ","
			,
			1615 E G Ave,
Kalamazoo MI  49004-1701,
USA
        ","
        ,269-345-1939
        ",http://www.trinitytemplesdachurch.org/,"
		,131","
		,Denry White "
"
        ,Monday, October 23, 2017
        ","
			,
			729 Farrell Ave,
Kalamazoo MI  49006-5545,
USA
        ","
        ,
        ",http://kalamazoospanishmi.adventistchurch.org,"
		,100","
		,Jonathan Flores-Ardiles "
"
        ,
			,
			(,) 
			
        ","
			,
			1601 Nichols Rd,
Kalamazoo MI  49006-2007,
USA
        ","
        ,269-342-2279
        ",http://www.kzoosda.org/,"
		,317","
		,Moise Ratsara "
"
        ,
			,
			(,) 
			
        ","
			,
			1601 Nichols Rd,
Kalamazoo MI  49006-2007,
USA
        ","
		,Jinwon Lee ",http://kalamazookoreanmi.adventistchurch.org,"
    	,
			6208 Winddrift Ave,
Kalamazoo MI  49009-8910,
USA
		","
		,18"
"
        ,
			,
			(,) 
			
        ","
			,
			1601 Nichols Rd,
Kalamazoo MI  49006-2007,
USA
        ","
		,Moise Ratsara ",http://kalamazoofilipinomi.adventistchurch.org,"
    	,
			C/O Dharwin Yanilla,
2321 Long Leaf St,
Kalamazoo MI  49006-3420,
USA
		","
		,16"
"
        ,
			,
			(,) 
			
        ","
			,
			4055 S 29th St,
Kalamazoo MI  49048-9384,
USA
        ","
		,David Austin ",http://www.countrysidesdachurch.org/,"
    	,
			PO Box 605,
Portage MI  49081-0605,
USA
		","
		,50"
"
        ,
			,
			(,) 
			
        ","
			,
			160 Mookua St,
Kailua HI  96734-2340,
USA
        ","
        ,808-261-1560
        ",http://kailuasda.com,"
		,308","
		,Jesse Seibel "
"
        ,Tuesday, October 17, 2017
        ","
			,
			261 S Puunene Ave,
Kahului HI  96732-2426,
USA
        ","
        ,808-877-5270
        ",http://kahuluiadventist.adventistfaith.org,"
		,339","
		,Vassili Khrapov "
"
        ,
			,
			(,) 
			
        ","
			,
			1704 Ruby Ave,
Kansas City KS  66103-1052,
USA
        ","
		,Leo A. Figueroa ",http://kansascityargentinespanish22.adventistchurchconnect.org,"
    	,
			1704 Ruby Ave,
Kansas City KS  66103-1052,
USA
		","
		,158"
"
        ,Company (CCO)
        ","
			,
			103 N 13th St,
Kansas City KS  66102-5106,
USA
        ","
        ,None
        ",http://kcemanuelhispanicks.adventistchurch.org,"
		,20","
		,Leo A. Figueroa "
"
        ,
			,
			(,) 
			
        ","
			,
			110 Park St,
Jupiter FL  33458-4328,
USA
        ","
		,Eliezer Diaz ",http://jupiterspanishfl.adventistchurch.org,"
    	,
			PO Box 7655,
Jupiter FL  33468-7655,
USA
		","
		,102"
"
		,
		","
			,
			17778 103rd Ter N,
Jupiter FL  33478-4702,
USA
        ","
        ,
        ",http://jupitertequestafl.adventistchurch.org/,"
		,162","
		,Richard Virgil Moseley "
"
        ,Company (CCO)
        ","
			,
			5165 Oxford Ave,
Philadelphia PA  19124-2537,
USA
        ","
		,Leonel Lozano ",,"
    	,
			4118 J St,
Philadelphia PA  19124-5214,
USA
		","
		,44"
"
        ,Thursday, November 29, 2018
        ","
			,
			4343 Mendenhall Loop Rd,
Juneau AK  99801-9282,
USA
        ","
        ,907-789-7644
        ",http://juneau22.adventistchurchconnect.org,"
    	,
			PO Box 33335,
Juneau AK  99803-3335,
USA
		","
		,100"
"
        ,
			,
			(,) 
			
        ","
			,
			439 W 10th St,
Junction City KS  66441-2236,
USA
        ","
		,Jonathan Merlin Burt ",http://junctioncity22.adventistchurchconnect.org,"
    	,
			PO Box 1432,
Junction City KS  66441-1432,
USA
		","
		,30"
"
        ,
			,
			(,) 
			
        ","
			,
			645 W 3rd Ave,
Junction City OR  97448-1383,
USA
        ","
		,Gregory Middlestetter ",http://junctioncityor.adventistchurch.org,"
    	,
			PO Box 392,
Junction City OR  97448-0392,
USA
		","
		,55"
"
        ,
			,
			(,) 
			
        ","
			,
			600 3rd Ave,
Troy NY  12182-2512,
USA
        ","
		,Nathan Madrid ",http://www.joyoftroy.org,"
    	,
			PO Box 387,
Troy NY  12181-0387,
USA
		","
		,95"
"
        ,Church (CCH)
        ","
			,
			202 S Point Dr,
Chadds Ford PA  19317-9734,
USA
        ","
        ,610-812-0764
        ",http://www.joyoflife24-7.org,"
    	,
			202 S Point Dr,
Chadds Ford PA  19317-9734,
USA
		","
		,1"
"
        ,
			,
			(,) 
			
        ","
			,
			770 N Glendora Ave,
Glendora CA  91741-2078,
USA
        ","
        ,626-963-5519
        ",http://journeysda.org,"
		,163","
		,Adam Thomas Hicks "
"
        ,Group (CG)
        ","
			,
			Bert Ferguson Community Center,
8505 Trinity Rd,
Cordova TN  38018-2701,
USA
        ","
        ,901-654-6589
        ",http://comejourney.org/,"
    	,
			PO Box 2454,
Cordova TN  38088-2454,
USA
		","
		,Donald Richard Henderson "
"
        ,
			,   ,: UTC-8
		","
			,
			1185 Westside Hwy,
Kelso WA  98626-1720,
USA
        ","
		,Richard New ",http://www.journeyadventist.com,"
    	,
			77 Solomon Rd,
Kelso WA  98626-1706,
USA
		","
		,724"
"
        ,
			,
			(,) 
			
        ","
			,
			1733 Conveyor Dr,
Joshua TX  76058-4842,
USA
        ","
		,Leonardo Balaguer ",http://joshuaspanishkoinoniatx.adventistchurch.org,"
    	,
			203 Shady Oak Rd,
Keene TX  76059-2432,
USA
		","
		,32"
"
        ,
			,
			,
        ","
			,
			1912 Conveyor Dr,
Joshua TX  76058-4844,
USA
        ","
			,
		,Isaac Heath  (Pastor - Associate)
        ",http://www.joshuaseventhday.org,"
		,519","
		,Dennis Austin "
"
        ,
			,
			(,) 
			
        ","
			,
			400 N Main St,
Joshua TX  76058-3213,
USA
        ","
		,Terry Darnall ",http://joshuacrossroadfellowship22.adventistchurchconnect.org/,"
    	,
			PO Box 65,
Keene TX  76059-0065,
USA
		","
		,300"
"
        ,
			,
			(,) 
			
        ","
			,
			1275 E Jordan St,
Pensacola FL  32503-4736,
USA
        ","
        ,850-432-4610
        ",http://jordanstreetsdachurch.org,"
		,268","
		,DeJuan N Knight "
"
        ,Church (CCH)
        ","
			,
			1501 Kansas Ave,
Joplin MO  64804-0935,
USA
        ","
        ,417-624-0857
        ",http://joplin22.adventistchurchconnect.org,"
		,137","
		,Jeff Scott Werda "
"
        ,Church (CCH)
        ","
			,
			118 Michigan Ave,
Jonesboro LA  71251-2728,
USA
        ","
        ,
			,
			
        ",http://jonesborolala.adventistchurch.org,"
		,10","
		,Daniel D Hoover "
"
		,
		","
			,
			3057 Walt Stephens Rd,
Jonesboro GA  30236-4119,
USA
        ","
        ,678-977-3076
        ",http://jonesborogracetabernaclemgga.adventistchurch.org,"
		,Samuel U Bulgin ","
			,
		,Nigel E Lewis  (Pastor - Associate)
        "
"
        ,Church (CCH)
        ","
			,
			2317 W Washington Ave,
Jonesboro AR  72401-9298,
USA
        ","
        ,870-938-0113
        ",http://jonesboroar22.adventistchurchconnect.org,"
    	,
			PO Box 578,
Jonesboro AR  72403-0578,
USA
		","
		,53"
"
        ,Church (CCH)
        ","
			,
			21514 W Division St,
Lockport IL  60441-6535,
USA
        ","
        ,815-744-2615
        ",http://www.jolietsda.org,"
		,126","
		,Adrian Amarandei "
"
        ,Church (CCH)
        ","
			,
			508 N Chicago St,
Joliet IL  60432-1706,
USA
        ","
        ,815-727-2704
        ",http://joliethispanicil.adventistchurch.org,"
		,153","
		,Magdiel Gomez "
"
        ,Church (CCH)
        ","
			,
			1035 Goucher St,
Johnstown PA  15905-2948,
USA
        ","
        ,814-255-1113
        ",,"
    	,
			1035 Goucher St,
Johnstown PA  15905-2948,
USA
		","
		,70"
"
        ,Monday, October 31, 2016
        ","
			,
			329 Long Cane Rd,
Johnston SC  29832-2831,
USA
        ","
        ,803-275-4407
        ",http://johnstonjohnstonsc.adventistchurch.org,"
		,34","
		,Robert Green "
"
        ,
			,
			(,) 
			
        ","
			,
			1910 E Oakland Ave,
Johnson City TN  37601-2126,
USA
        ","
        ,423-283-4776
        ",http://johnsoncitysda.org,"
		,242","
		,Rob Lechner "
"
        ,
			,
			(,) 
			
        ","
			,
			1200 E Lakeview Dr,
Johnson City TN  37601-2310,
USA
        ","
		,Jorge Baez ",http://johnsoncityhispanictn.adventistchurch.org,"
    	,
			319 Sam Jenkins Rd,
Gray TN  37615-4111,
USA
		","
		,46"
"
        ,Monday, December 31, 2018
        ","
			,
			Renting,
4062 Betsy Kerrison Pkwy,
Johns Island SC  29455-7110,
USA
        ","
        ,843-693-9105
        ",http://stjohnsislandspanishsc.adventistchurch.org,"
    	,
			C/O Alexander Vargas,
2729 Star Dr,
Charleston SC  29406-4515,
USA
		","
		,Alexander Vargas "
"
        ,Church (CCH)
        ","
			,
			110 Valley View Dr,
John Day OR  97845-1100,
USA
        ","
		,Monte G Wood ",http://johndayor.adventistchurch.org,"
    	,
			PO Box 396,
John Day OR  97845-0396,
USA
		","
		,70"
"
        ,
			,
			(,) 
			
        ","
			,
			600 Church Ave,
Indianola MS  38751-3217,
USA
        ","
		,John Brooks, Sr. ",http://jesusistheway22.adventistchurchconnect.org,"
    	,
			PO Box 2120,
Indianola MS  38751-1820,
USA
		","
		,99"
"
		,
		","
			,
			126 Parker St N,
Wiggins MS  39577-3355,
USA
        ","
		,
			,
			
		",http://jesusfirstfellowshipms.adventistchurch.org,"
		,18","
        ,
        "
"
        ,Company (CCO)
        ","
			,
			1059 E Plum St,
Jesup GA  31546-5033,
USA
        ","
        ,
			,
			
        ",http://jesupga.adventistchurch.org,"
		,27","
        ,912-588-9964
        "
,"
			,
			1607 Firestone Ave,
Muscle Shoals AL  35661-1957,
USA
        ","
		,
			,
			
		",http://jerusalemspanisha22.adventistchurchconnect.org,"
		,43","
        ,
        "
"
        ,Tuesday, July 10, 2018
        ","
			,
			1767 40th St S,
Saint Petersburg FL  33711-2707,
USA
        ","
        ,727-851-2557
        ",http://jerusalemfl.adventistchurch.org,"
		,24","
		,Sidney Champagne Sr"
"
		,
		","
			,
			198 S Broadway,
Lawrence MA  01843-1420,
USA
        ","
        ,
        ",http://jerusalemsdahispanicmission22.adventistchurchconnect.org,"
		,78","
		,Josue Aroldo Cruz "
"
        ,Church (CCH)
        ","
			,
			12 Lincoln Ave,
Cranston RI  02920-7724,
USA
        ","
		,Jean Parisien ",http://jerusalemhaitianri.adventistchurch.org,"
    	,
			19 Hubbard St,
Cranston RI  02920-7721,
USA
		","
		,50"
"
        ,
			,
			(,) 
			
        ","
			,
			6863 S Congress Ave,
Lake Worth FL  33462-3719,
USA
        ","
		,Bienvenu Theodore ",http://jerusalemfrenchboyntonbeachfl.adventistchurch.org,"
    	,
			7641 Briar Cliff Cir,
Lake Worth FL  33467-7928,
USA
		","
		,98"
"
        ,Church (CCH)
        ","
			,
			222 E 28th St,
Brooklyn NY  11226-6302,
USA
        ","
        ,347-406-9885
        ",http://jerusalemfrenchny.adventistchurch.org,"
		,718","
		,Robert J Charles "
"
        ,
			,
			(,) 
			
        ","
			,
			777 NW 106th St,
Miami FL  33150-1058,
USA
        ","
        ,305-576-3733
        ",http://jerusalemfrench24.adventistchurchconnect.org,"
		,445","
		,Gerly Germain "
"
        ,Church (CCH)
        ","
			,
			537 E Wyoming Ave,
Philadelphia PA  19120-4509,
USA
        ","
        ,215-324-0374
        ",http://jerusalemfrenchpa.adventistchurch.org,"
		,219","
		,Abdonel Jean Philippe "
"
        ,Church (CCH)
        ","
			,
			240 Montgomery St,
Jersey City NJ  07302-4005,
USA
        ","
        ,201-432-6993
        ",http://jerseycityspanish22.adventistchurchconnect.org,"
		,181","
		,Joe Daniel Navarro "
"
        ,
			,
			(,) 
			
        ","
			,
			66-68 Bowers St,
Jersey City NJ  07307,
USA
        ","
		,Alexis Grajales ",http://jerseycityheightsspanishnj.adventistchurch.org,"
    	,
			C/O Diana Ferrer,
917 85th St Apt 1,
North Bergen NJ  07047-5142,
USA
		","
		,292"
"
        ,Church (CCH)
        ","
			,
			158 Congress St,
Jersey City NJ  07307-2602,
USA
        ","
        ,201-653-0418
        ",http://jerseycityheights22.adventistchurchconnect.org,"
		,136","
		,Stefan Burton-Schnull "
"
        ,Tuesday, October 17, 2017
        ","
			,
			501 4th Ave E,
Jerome ID  83338-2003,
USA
        ","
		,Gerald Melendez Margil ",http://jeromespanishid.adventistchurch.org,"
    	,
			C/O Jesus Lopez,
323 W 350 S,
Jerome ID  83338-5941,
USA
		","
		,36"
"
		,
		","
			,
			2130 SW 47th Ct,
Bell FL  32619-2134,
USA
        ","
        ,
        ",http://jenningslakespanfl.adventistchurch.org,"
    	,
			c/o Lay Pastor Amy Hunter,
PO Box 763,
Trenton FL  32693-0763,
USA
		","
		,41"
"
        ,
			,
			(,) 
			
        ","
			,
			2130 SW 47th Ct,
Bell FL  32619-2134,
USA
        ","
		,Karl Edward Leukert ",http://jenningslake.com,"
    	,
			PO Box 1198,
Trenton FL  32693-1198,
USA
		","
		,47"
"
        ,
			,
			(,) 
			
        ","
			,
			324 Adventist Ln,
Jellico TN  37762-3859,
USA
        ","
		,Kevin Pires ",http://jellico22.adventistchurchconnect.org,"
    	,
			PO Box 89,
Jellico TN  37762-0089,
USA
		","
		,126"
"
        ,
			,
			(,) 
			
        ","
			,
			426 E Maple St,
Jeffersonville IN  47130-3424,
USA
        ","
		,Javier Quiles ",http://www.jeffersonvillesdachurch.org,"
    	,
			PO Box 147,
Jeffersonville IN  47131-0147,
USA
		","
		,54"
"
        ,Church (CCH)
        ","
			,
			4776 Old Lohman Rd,
Jefferson City MO  65109-0317,
USA
        ","
        ,573-636-6561
        ",http://jeffersoncity22.adventistchurchconnect.org,"
		,81","
		,Curtis Lee Denney "
,"
			,
			427 Lochmere Dr,
Morristown TN  37814-2187,
USA
        ","
		,
			,
			
		",http://jeffersoncityhispanicmgtn.adventistchurch.org,"
		,Jorge Baez ","
        ,
        "
"
        ,Church (CCH)
        ","
			,
			604 N Walnut St,
Jefferson TX  75657-1852,
USA
        ","
        ,903-665-7425
        ",http://jeffersoncentral22.adventistchurchconnect.org/,"
		,85","
		,Jose Omar Rodriguez "
"
        ,
			,
			(,) 
			
        ","
			,
			309 Jefferson Ave,
Rochester NY  14611-3303,
USA
        ","
        ,585-328-7806
        ",http://Jeffersonsda.org,"
		,522","
		,Hanson W Drysdale Jr"
"
        ,Church (CCH)
        ","
			,
			3000 Fm 728,
Jefferson TX  75657-6556,
USA
        ","
        ,903-665-2670
        ",http://jeffersonacademy22.adventistchurchconnect.org,"
		,231","
		,Alden Ho "
"
        ,
			,
			(,) 
			
        ","
			,
			1105 W Washbourne St,
Jay OK  74346,
USA
        ","
		,Rex Alan Shores ",http://jay23.adventistchurchconnect.org,"
    	,
			13717 E 390 Rd,
Jay OK  74346-4603,
USA
		","
		,145"
"
        ,
			,
			,
        ","
			,
			4298 Livingston Rd,
Jacksonville FL  32257-7019,
USA
        ","
			,
		,Timothy Jemly  (Pastor - Associate)
        ",http://lifepointcfc.org/,"
		,756","
		,Ruben Ramos Jr. "
"
        ,
			,
			(,) 
			
        ","
			,
			888 Highway 150,
Jasper TN  37347-2647,
USA
        ","
		,Rob Snider ",http://jaspertennessee22.adventistchurchconnect.org,"
    	,
			PO Box 787,
Jasper TN  37347-0787,
USA
		","
		,135"
"
        ,
			,
			(,) 
			
        ","
			,
			11246 County Road 6 E,
Jasper FL  32052-6643,
USA
        ","
		,Carlos Yoel Madrigal ",http://jasperspanishfl.adventistchurch.org,"
    	,
			C/O Jadiel Sanchez, Lay Pastor,
3311 NW US Highway 41,
Jennings FL  32053-2318,
USA
		","
		,30"
"
        ,
			,
			(,) 
			
        ","
			,
			3240 Saint Charles St,
Jasper IN  47546-1860,
USA
        ","
        ,812-556-0092
        ",http://jaspersda.com,"
    	,
			PO Box 547,
Jasper IN  47547-0547,
USA
		","
		,14"
,"
			,
			3240 Saint Charles St,
Jasper IN  47546-1860,
USA
        ","
        ,Latitude:
			,, Longitude:
			-86.946125
			, Source:
			,
        ",,"
    	,
			803 E Walnut St,
Evansville IN  47713-2562,
USA
		","
		,
			,
			
		"
"
        ,Church (CCH)
        ","
			,
			600 Burnt Mountain Rd,
Jasper GA  30143-3367,
USA
        ","
        ,706-253-2782
        ",http://jaspergeorgia22.adventistchurchconnect.org,"
		,58","
		,Mihail Baciu "
"
        ,Church (CCH)
        ","
			,
			2655 Manoa Rd,
Honolulu HI  96822-1705,
USA
        ","
        ,808-988-4343
        ",http://honolulujapanese.adventistfaith.org,"
		,461","
		,Michael B. Brownfield "
"
        ,
			,
			(,) 
			
        ","
			,
			865 N York Hwy,
Jamestown TN  38556-6167,
USA
        ","
		,Lonnie G Cook ",http://jamestown23.adventistchurchconnect.org,"
    	,
			PO Box 1777,
Jamestown TN  38556-1777,
USA
		","
		,41"
"
        ,Church (CCH)
        ","
			,
			(Hwy 55 & 127),
100 Freedom Church Rd ,
Jamestown KY  42629,
USA
        ","
        ,270-343-2220
        ",http://jamestownky.adventistchurch.org,"
		,42","
		,J Fred Calkins "
"
        ,Tuesday, October 17, 2017
        ","
			,
			130 McDaniel Ave,
Jamestown NY  14701-6011,
USA
        ","
        ,716-484-2065
        ",http://jamestown22.adventistchurchconnect.org,"
		,105","
		,Zechariah Musselman "
